gen,best_fitness,max_raw_reward,avg_raw_reward
1,0.09692744282113192,-1194.0074062027718,-1308.966642846064
2,0.09833498764592968,-898.851570841937,-1128.0095791700985
3,0.06802295884446063,-1107.3769992269008,-1240.5949586139275
4,0.06809630849443778,-1026.441385722358,-1174.4760602631086
5,0.07863568298727847,-734.5334412016596,-1002.412073221483
6,0.07647180189398473,-782.8695771163091,-1050.7777754801145
7,0.07353998612994994,-845.0248212796778,-1110.5135578027368
8,0.07130988199869705,-803.67399160439,-1029.537419186547
9,0.07493854558269118,-815.0075377919418,-1086.394964548915
10,0.07343005125277013,-756.9150959651372,-1033.8894241830117
11,0.0636379326275445,-1025.3200987139776,-1173.8883017246999
12,0.07412876961239286,-1055.6660624268468,-1211.155203984763
13,0.08120125922012625,-919.630984466265,-1179.513080642664
14,0.06494461093395004,-1027.2155762380585,-1201.4585743736686
15,0.06939928953866839,-899.0214266513491,-1113.9199539217584
16,0.07998600855767735,-1085.3651266872557,-1259.7384257792792
17,0.07171593352343952,-1185.7054286480302,-1292.5162102056977
18,0.06239187348667423,-1132.0603177668595,-1237.9197889929835
19,0.11863293996237978,-1096.041872389408,-1314.5853570925092
20,0.07555797631613358,-982.2248803694614,-1211.863422078287
21,0.07586601236891327,-1033.762058419041,-1247.6641705049447
22,0.06494575152409623,-1134.4810453683192,-1365.3700272922067
23,0.09073230605114457,-800.822816504239,-1180.668727363646
24,0.07888551515764035,-910.8347191620951,-1239.4733307995964
25,0.07667084598117806,-925.4162874592743,-1236.3218474329124
26,0.06509939832537595,-997.8423218111669,-1263.4704234403937
27,0.06620426672804057,-1082.6845824340708,-1320.823247579769
28,0.10029352799594378,-795.1621140500345,-1203.9831165340222
29,0.07376105027592962,-911.2102195369946,-1247.0408851774268
30,0.08314220306188518,-822.2800499253032,-1173.3822887292513
31,0.07637720274599369,-817.729570464695,-1122.186296474801
32,0.06974222623745976,-980.339610501433,-1180.2985303695393
33,0.09992515894048874,-946.1293792943982,-1329.997399141428
34,0.08211298331665229,-904.3623640547621,-1200.6880116663935
35,0.06788519024220269,-1068.1435838925584,-1285.3554895711034
36,0.0797329242504729,-933.3991864528313,-1206.4895657658144
37,0.0824587019084353,-844.0904950414209,-1171.7683362407488
38,0.06621058800892506,-1115.8615276635473,-1342.479330677874
39,0.08336297690451754,-987.0074595773652,-1256.8591561558853
40,0.08937603042709283,-884.3229409982354,-1200.9743358806118
41,0.07833873972315161,-938.5879606240421,-1210.5941844640977
42,0.07024958486404949,-1011.5133562836124,-1275.125256696935
43,0.07025780826231992,-934.845956524927,-1255.6036647989981
44,0.07666334597201166,-984.4907415169118,-1246.7464194351514
45,0.06960029155636394,-1021.5694266840406,-1288.8973836890652
46,0.07810334798254076,-941.45745733367,-1202.9811003376753
47,0.06868543594638438,-869.753529573265,-1177.1403943877792
48,0.08408906793037957,-906.8953530872019,-1177.9062792058107
49,0.09514190815256074,-673.6063032696186,-1145.13990699013
50,0.07814758877349418,-856.01703759057,-1237.1488777685536
51,0.07904400858896043,-860.9283960277778,-1235.477186521594
52,0.0925936180384012,-738.0495124806845,-1160.6141509137947
53,0.07513027860782842,-901.6765905006536,-1263.4590377675004
54,0.09697030573565424,-756.1028545184892,-1164.462474794482
55,0.08760828813630823,-778.3492292351027,-1228.703377107453
56,0.09235226098965718,-745.2848064940974,-1224.6271311221055
57,0.10800153746311926,-623.4244362670325,-1159.23650349235
58,0.09422947111463462,-672.9410584327985,-1120.8481707780363
59,0.09454822499357207,-754.5452633029926,-1166.5027741817137
60,0.09430699656729559,-698.5270577978072,-1155.1484091611865
61,0.10269055535418913,-626.9188829867961,-1128.6077644463194
62,0.093840909167034,-609.9408650634889,-1089.175142896475
63,0.07633568420161792,-720.4752967627255,-1162.5406746673716
64,0.09108626592690258,-733.3983424771352,-1156.3018749682744
65,0.08932289869002336,-616.6601184700208,-1078.4194313237322
66,0.09970325330349351,-704.0426895864521,-1138.5800744692015
67,0.08284368485833808,-704.0814225460804,-1143.8617966362865
68,0.09443304169762713,-617.8916640806868,-1114.5280357628767
69,0.09511522680053153,-677.8458365519318,-1134.124700123118
70,0.09846804724946774,-720.6069446568542,-1163.2533304610145
71,0.100152613701895,-679.3598278072075,-1157.0955414601156
72,0.09751395842471379,-625.0106302219008,-1123.3825552452263
73,0.09836768807254162,-624.6512415751392,-1122.1336956878613
74,0.08293530755068695,-752.5612731812561,-1182.5878939500494
75,0.09216037698893494,-700.0220028925703,-1122.4336745664657
76,0.09359863206141064,-659.2001447411585,-1122.765771633941
77,0.0848154914049984,-793.890988835504,-1198.1586506439896
78,0.09103484785605725,-707.1697806254831,-1132.128289261054
79,0.08273317733706986,-767.1203714712786,-1137.453626089282
80,0.08629709907726218,-720.121278810302,-1159.7948641147816
81,0.0809662999654301,-808.7665226294839,-1165.1769421539648
82,0.0903821748348568,-663.081077091796,-1091.081554036816
83,0.09160659780842818,-697.4795374584637,-1132.2473778419703
84,0.07293535326050292,-670.0139914967243,-1087.729819839702
85,0.09083339493616223,-685.9723189180053,-1075.1046134960773
86,0.08768983791066691,-729.3749033204244,-1105.1001543756313
87,0.08180391132240976,-705.8984879350089,-1062.592109639128
88,0.0866558970507216,-683.9173891055528,-1064.9483171029422
89,0.0966735771759595,-680.9915487528809,-1120.667171179408
90,0.07044047606111568,-712.500157908756,-1086.2023506762953
91,0.08524023856977254,-706.7633728655529,-1089.2450738654725
92,0.08713950008835722,-748.2928297891883,-1086.8832664755773
93,0.07898823913566283,-692.3252083416498,-1032.1245278470722
